,eng,jp
63,"you got finals, your nyu application is due in what, two weeks?",nyu申請は2週間後だ
64,the engines have stopped.,エンジンが止まった
65,so i wrote a computer program a bunch of years ago,そこで何年も前にわたしはtreemakerというプログラムを書き
66,i want to talk to the 58 patients down here,私はこの58人の患者の話が聞いてみたい―
67,i'm better than ok.,それ以上にいいぜ
68,"here. hey, pretty stylish.",はい え~ッ オシャレ~
69,and anyone who can't give me those two things has no place in my life.,僕はその2つを僕に与えられない人に用はない」
70,she got a girlfriend who came at a girlfriend's place,彼女 わいは彼女ばおる身でこげん所挨拶に来よっとか
71,do not act alone.,まっすぐ自分の言葉は曲げねえ。
72,i have no idea who you are.,あなたの事は 見当もつかない
73,"ah, yoshikiyo! why?",あっ 義清ではないか。 何故?
74,"that anybody can edit anything, at any time",誰でも いつでも 何でも編集できるようにしたら
75,you and,お前も
76,what if that was a message from erica?,エリカからだったら? なぜ受け取らなかった?
77,which are the two primary factors,この2つは戦争のきっかけです
78,the unconscious mind does most of the work.,導いているということです
79,seems like he was a good man.,良い人だったらしいね
80,"emma, run!",エマ、走れ!
81,the rate of death is declining.,死亡率が低下している
82,"anything i can do, sir?",私は何をすれば?
83,they look after the engineers working on the darn.,彼らは送水口で働いているの技術者を 守ってる
84,i don't want my teeth pulled!,いやだ~~ 歯を抜くのはいやだ~~
85,the mountains of the gods.,山の神々
86,it is this zeele schneider that embodied it most strongly.,それを 最も強く具現化したのが この ゼーレシュナイダーだ。
87,see if you can clean him up a little.,象でもとるのか?
88,she couldn't stick that four months ago.,4カ月前には まだ出来なかったんですよ
89,know it well kanji drill,えッ? あの... 漢字ドリルじゃ
90,"i realized that not one, not one of us",しかし私は そこにいた誰一人 同様の危機に対処した
91,get to the car!,車に行くんだ
92,a method to raise the delicious melons.,美味しいメロンの育て方
93,do me a favor and get in the trunk yourself.,自分で トランクに入ってくれ
94,"really, of course the famous book dracula",ダブリン北部出身の ブラム・ストーカーが書いた
95,i'm the same way.,俺もだ
96,she dove in.?,どうなった? 川に飛び込んだ
97,how did you get naked? what is that!,裸は どうやった? 何なんすか それは!
98,i don't think so.,そうは思わないわ
99,probably at my parents'.,多分両親のところ
100,"the parents of the three young women raped by brent garvey, for example.",例えば ブレント・ガーヴィーに レイプされた 3人の少女の両親のようにね
101,"on the back of cereal boxes, board games. any place you use ink",シリアルの箱の裏面、ボードゲームなど インクを使うあらゆるもので
102,"no, but ms. thompson will.",いいえ でも トンプソンさんは多分知ってる
103,"well, turk did the republic arrive with my spice?",ターク、共和国はスパイスを持って来た?
104,say that and move forward.,先に進みたいんです
105,"husehld f my peples, bth at hme and verseas.",国内の あー 人々
106,i cannot be a swindler unless i can read people's mind.,人の心を読めなきゃ 詐欺師は務まりませんからね
107,she spent 15 years with the u.n.,国連での15年間は
108,he didn't tell you?,聞いてないの?
109,i've heard that too.,同じ意見
110,why not leave him alone?,ひとり
111,i am.,はl、
112,i see.,あぁぁ分かりました
113,i think she should have been with that man.,姉は その人と一緒に なるべきだったと思ってしまう
114,"it is now anybody with access to a $1,500 computer",1500ドルのコンピュータを使うことさえできれば、
115,now then... what should i do?,これは 今のうちに ちゃんと お仕置きしとかんと...。
116,"hey, shin'ichi...!",≪ねぇ ボウヤ≫ えっ...。
117,we have something stronger than the five senses,オレたちには五感を超えた 心の目がある!
118,they used that to get back on another boat.,船外モーターを使って 別のボートで岸に戻ったんでしょう
119,it's a sonata.,ソナタです。
120,walter's full of surprises today.,今日一番の驚きだな
121,leave it to me!,料理? あっ この料理なら任せなさい。
122,and i'll show you that in real time now,それをリアルタイムで ご覧に入れますが
123,you ever hear of avoidance behavior?,回避行動の話は聞いたか?
124,our entire lives revolve around aoi.,生活のすべてが 葵中心にまわってる。
125,"hey, let's go.",行くぞ
126,and perhaps saved nike.,ナイキを救ったのです
127,"ready, barry? over the top.",dh: 準備はいい バリー bf: 頭の上だな
128,"according to his brother, eugene was a very bright man.",ユージーンは とても聡明な男だった
129,where did you find that?,どこで見つけた?
130,the question is why?,でもなぜ貴方と パーカーを容疑者に?
131,instinct.,本能。
132,"well, there's always something we can do.",何とかなる
133,a fast talker.,おしゃべり
134,"michika, we're not talking about that now.",美知香 今 そんな話してない
135,ok. mount!,はい。 乗った。
136,"yes, please. thank you.",お願いします
137,i have a gift.,そういう力がある
138,i decided to join the ngo,ngoで働くことにしました
139,i'm getting there.,まあな
140,"that's right. so, you can either walk out of here...",その通り ここから歩いて出て行くか
141,i want to go play outside too.,私もお外で遊びたい
142,i chilled.,怒りを制御した
143,i will do it.,真面目にやれ
144,hello.,ちわ。 こんにちは。
145,"with various equipment, cameras and microphones",ヘルメットを着けてもらいました
146,great person.,素晴らしい人です
147,our pilot.,パイロットだ
148,are the people ready to proceed?,進行できますか?
149,my father told me a story,父が 18 世紀の時計職人の
150,i wonder what we are using our sword for .,何のために 太刀を振るってるのか...。
151,i think it gives you one.,もう1度チャンスをくれると思う
152,whwhat is this?!,これは...!
153,for visitors and humans.,ビジターと人類の
154,that can't be right.,そんな筈は...
155,cut it out. i want to stay here.,くくっ...。 う... うう...。
156,but i can't do that.,でもそれはできない
157,killing crows in their castle is tough.,城の中のカラスを殺すのは大変だが
158,"you, this dimwit!",この、ノロマめ!
159,"can't be, huh?",う~ん
160,"alright, good.",よし いい
161,what the hell is going on?,一体どうなってる?
162,it's my happy place.,そこは幸せな場所
163,look what you've done.,やだ やだ やだ。 やだ やだ。 待て~!
164,something radically different.,全く違う雰囲気で奏でる事によって
165,"all my months of planning, every move i've made.",何ヶ月もの画策や行動が
166,rita.,リタ
167,"now, i have to do this, the rest of the thing, like this.",どうにか後始末をしなきゃいけません
168,look. isabel kronenberger is showing here on saturday.,見てイサベルは目立つここで土曜日に
169,that she asked the man kurosawa to do this.,それを 自分が 黒沢って男に頼んで
170,i think we're done here.,じゃ 解いて
171,fellow delegates.,代表のみなさん
172,"again, relaxed?",リラックスしてください
173,you promise me you're coming back!,きっと戻るって
174,"i mean, i hope so.","1. アイ・コンタクト ""2."
175,"look. if i had a penis, i'd try it.",ペニスがあったら 私なら試す
176,all this is the cemetery.,ここは墓場だな
177,"no, i'm not. it was a prank, dale.",言ったな!
178,"our target audience, it's not just the producers of terrorism",それはテロの生産者
179,i didn't know what to do.,私が何をすべきかを知りませんでした。
180,what? what's okay?,はあ? 何が負け惜しみよ
181,"even when i change my clothes, i have to blindfold myself!",着替えするのだって
182,here...,こいつは まいったね。
183,i'm the one who was totally in the wrong.,悪かったのは 全部 こっちなんだし。
184,i don't need this shit.,何て事だ!
185,i i wonder...,捕まえたよ。 ほーら。 ウホホホホホホ...。
186,"but we have padding, and fantastic shockabsorbing things like sorbothane",しかしパッドや ソルボセインのような 素晴らしい衝撃吸収材のおかげで
187,"hey, doctor..",ねえ先生
188,still has much primitive wildlife due to its complex geography and harsh natural environment that are unsuitable for living in.,由于地形复杂 自然环境恶劣 人迹罕至
189,what did i tell you about knocking?,ノックについて なんて言ったかしら?
190,he is mariya kyosuke.,真里谷恭介。
191,and the sketch miyukisan drew.,それから 美由紀さんが描いた似顔絵も。
192,that's actually probably the most important thing to anyone who's religious,おそらく最も重要な
193,go on.,先へすすむための
194,"well, at least you didn't say i was agent 46.",エージェント46なんて 言わないでね
195,they got an alien k9 unit we're not aware of?,エイリアンも警察犬を? 知らなかったわ
196,"okay, message received, young fella. you won't get no pushback from me.",手間取らせたりはしませんよ。
197,in this prison,牢獄ね...。
198,no. ground it.,奴を逃がすな
199,you think?,ああ そう?
200,"forgive me, monsieur gustave. i never meant to betray you.",許してくれ、ムッシュー・グスタフ 決して裏切るつもりは無かった
201,we also have been serving you with our bones broken,我らも骨折って ご奉公したかいが あったというものにございます。
202,transformative act.,示唆しています
203,"blow something up, take someone out.",何かを吹き飛ばして 誰かを連れ出す
204,"and so, on the left, we were seeing 100,000 polygons.",左側では10万ものポリゴンが見えました
205,everything in my room was shaking,部屋のあらゆるものが揺れていました
206,now what... what is that noise?,何だ? あの音は?
207,still a great night under the stars.,素晴らしい夜だ 星の下で
208,"eden, i need a med unit at the 49th junction.",エデン第49ジャンクションに医学班を
209,you knew that already.,あなたはもうわかってるだろ。
210,and are responsible for much of whats gone on on our planet.,この惑星で起こる様々な物事の原因となっていました
211,perhaps if you had your husband call me.,. ご主人に電話を頂ければ
212,i've become rather concerned about,インドに対する過大評価である
213,"fuck, come on.",クソ
214,increasing evidence is that being bilingual,バイリンガルは認知能力に よい影響があるという ―
215,bigg bunny is never gonna find the aurelia without me.,俺が いなきゃ 宝は見つけられない
216,hey third generation is serious at that age.,おい 三代目様だって 大変なんだぞ あのお歳で。
217,"i worked really, really hard to distribute it everywhere in brazil.",本当に一生懸命になって ブラジル中で売ろうとしました
218,never a dull moment with you guys.,いつも退屈しないな
219,now the problem with this model of censorship,webサイトを特定して
220,"come on, people, let's get to it",♪ みんなで歌おうぜ
221,give me the phone.,電話貸せ 電話
222,don't what me!,頼む! オレを鍛えてくれ!
223,i special summon fallen cone!,特殊召喚!
224,i'm tired. later.,疲れた また後でね
225,he's unexpectedly serious.,あれで 案外 本気だったんだよ。
226,and the bank where elaine works.,それに銀行は イレインの勤務先だ
227,krull the warrior king.,クルール 戦士王クルール
228,tbl: can you say now?,ティム: 「今すぐに!」
229,can you stop 'em from harming him?,でも守ってやってほしいの
230,she's very beautiful.,きれいな人ね
231,"excuse me, excuse me.",おかまいなく
232,when you arrived at the golf course.,連絡しようと 思ってたんですけどね。
233,oh we meet two days in a row.,昨日の今日で また会うとはね。
234,"is it a bird, is it a plane?",空中では鳥や飛行機のように
235,to fund the whole thing,運営権を得ることにしたら どうでしょう
236,i need to disappear.,俺は姿を消さないと
237,"cut the chatter, ahsoka.",これは難しいくなるね アソーカ静にして
238,"detonation in 2 minutes, 30 seconds, mark.",爆発まで2分30秒
239,being fresh like the fresh prince,フレッシュ・プリンスのように勝手気まま
240,do you know my sister? yes.,姉をご存じなんですか? ええ
241,did the marriage meeting actually go well? it did.,うまくいったんですか? そうなんだよ
242,adam galloway's coming down from new york.,アダムが来る
243,set of stomach organs,胃でろ過して
244,"that this is a problem, but we've had to suffer fake fixes.",これが問題だとわかってなお 偽りの対策でごまかされていることです
245,"i'm taking care of her, not you.",俺が彼女の世話をしてる あなたじゃなく
246,until you're able to recognize me clearly.,そなたが わたしを しっかと 認識できるようになるまでだ。
247,"gunpowder, treason and plot!",火薬 反逆罪と陰謀
248,i would like to grant it if it is mr. mikage's wishes,それがミカゲさんの望みなら 私は叶えてあげたいと思う
249,but why won't he say anything when he almost messed up the important event?,大切なイベントをめちゃくちゃにしかけたのになぜ何も言わないんだ?
250,here's something good.,いいものがあるぞ
251,"indeed, if shiranami returns to the village, we could...",それができたなら きっと俺たちは... 仲間だ。
252,i can not imagine myself like that i guess i am accustomed to one person,そういう自分が想像できない ず~っと一人に慣れてるからかな
253,please let me eat it.,よろしく伝えといてください
254,the first is cyanobacteria.,まずは海や淡水湖に住む藍藻類でした
255,"my new idea is we could go a little bit out of the way and spend the night in vegas and still break the trip up, for the most part, but also have, like, one more day of...",違う道を通って ベガスに行くか こっちでも大丈夫
256,there's plot holes.,話に矛盾が
257,they want to know how much exercise your dog is getting.,運動量を知りたいでしょうし
258,probably not. probably.,たぶんそれはない
259,"thank you, everyone.",ありがとねー
260,that's good.,顔色も いいですし。
261,"the project's completed, right?",あの計画は 完成してたんだ
262,brought it to s.h.i.e.l.d.'s attention.,それで「S. H. I.
263,i really don't know.,知らないわ、本当に知らないの
264,chuck.,チャック
265,but maybe caputo will let you make a call later.,でもカプートに頼めばかけさせてくれるよ
266,"not on my watch, pal.",「どうなるか覚悟しろよ」
267,why would he do that?,なぜ彼が あんなマネを?
268,what! what!,うわあ! あっ...
269,thirtytwo.,32
270,where's the boy... the one that lives here?,ここに住んでた少年は?
271,you do...,はいできた
272,"everybody, hold on for one minute.",待ってくれ
273,we were farmers and they slaughtered us.,俺達は農民なのに殺した
274,i want to get to the truth of this.,間違いないんです。
275,this was actually just taken last year.,実はこの写真は去年のものです
276,"well, then you'll just have to finish what anne marie started.",君がアンヌ・マリーがやった罪を 終わらせてくれ
277,"but still gayla went on, and finally she succeeded",それでもゲイラはあきらめず とうとう ―
278,i can't move right now because i'm doing something really important.,今すごく大事な会議中で動けないの
279,we'll never make it under an hour.,1時間未満では間に合わない
280,it's 7cfi06x.,7cfi06xよ
281,"where you work, where you play.",どこで働き どこで遊んでいるかも
282,"what? just don't follow me around all night, okay?",俺に付いてくるなよ
283,"do you realise, you got laid of because of restructuring just like your father?",親子二代にわたって リストラされちゃってんだよね。
284,then anna gets her hands on a message that means nothing to her.,アンナには知らせない 真っ先にアンナに届けたら?
285,now my handkerchief too,もう! ハンカチも...。
286,well?,し... 失礼
287,"alec, i've got prints with no id.",アレク 不明な指紋があるわ
288,"is that, because they're mainly looking",利用者が何を最初に
289,the thing about perfection is that it's unknowable.,完璧かどうかは 我々が決めることじゃない
290,onetoamillion costbenefit ratio.,そこから百万倍の幸福を得ることはできない
291,where's the bomb?,爆弾はどこだ?
292,"agent dunham, take a look at this.",ダンハム捜査官これを
293,you know how the puzzle works. get us out!,あなたはパズルの仕組みがわかるのよね 私達をここから出して
294,where did you find him?,どこで見つけた?
295,"thanks, smokey.",ありがとう スモーキー
296,than what people pay now,小さな魚を捕まえるために
297,"however, even so...",でも それでも
298,"hey, timmy, did you know jack who worked here? mmhmm. what can you tell me about him?",ティミー ここで働いてた ジャックは知ってるか? 彼について話せる事は?
299,they said she has our patient registration card.,受け入れなんて 無理だ。 それが うちの診察券を➡
300,my injury is my fault. i'm not so weak that i have to be protected by you!,調子にのるなよ! 自分のケガは 自分のミスだ!
301,"attaboy, tom. you're active!",元気だな おいトム!
302,that's my son. bobby pena.,あれは私の息子の ボビー・ペナです
303,"yes, i was told about that.",ああ、そのことは聞いた
304,gate opening!,開門! はぁ!? 門が開きはじめた。
305,"wow, todd's money seems to be funding our investigation.",この研究所に提供してる 資金は役に立ってるわ
306,you know anything ? can you help me ?,ほかに何か知ってる?
307,"that's not possible, if that is the case",それはないですよ だったら無理心中事件に
308,of women and men,男女間に違いがあることが
309,you know that it is your heart.,ここが心臓
310,i can't disclose patient information.,患者の情報は漏らせないの
311,"saoirse, get down.",シアーシャ、 伏せろ。
312,"we stroll out, slow and steady. just like we belong.",ゆっくり前へ進んでいく.
313,isn't there a better way?,ちょっと 他に何かないの?いい方法
314,"and meanwhile, we'll take our little threemonthold baby",そして 私たちの3ヶ月のかわいい車も
315,am i remembering...,僕は レベル2の アーミーモスキート ブラッド・フォース3体で
316,"ok. it's not looking great, but we will get through this, lissa, we always do.",この状況は不利だわ
317,can you find a unifying language that cuts across age,年齢 収入 文化の垣根を越えて 人々を結びつける
318,would you please tell ?,だったら 言っていい?
319,what's real and what's an advertisement.,どれが広告なのか 見分けにくいことも多いですから
320,shared housing.,家を共有しているのに 近い感じ
321,"it was built, and they came.",「なせばなる」って
322,she could hurt somebody.,殺してしまうぞ
323,"well, because i just wanna leave my family a message real quick. if i could.",家族に別れのメッセージを残したいの
324,it would scare him straight.,怖がらせて 立ち直らせようとしたの
325,i understand that and i totally respect you.,リスペクトは理解している
326,"i'm sorry, it's just...",フェリシティ ごめんなさい ただ...
327,ashes to ashes...,灰から灰に
328,"look, i'm sorry if i made you angry.",なあ 怒らせたなら謝る
329,to a new age of symbiosis between our bodies,私たちの身体、我々が育てる微生物 製品そして建築物までもが
330,this is my resolve!,これが俺の覚悟だ!
331,the only problem with that scenario,病気のことは分かってる クレア
332,he has to live.,クリス・ホーキンスがここに住んでますね
333,what the ipod is to the 8track,ipodに対する8トラックであり
334,i'm serious.,いや~.
335,video games.,ビデオゲームだよ
336,congratulations to all of you.,皆さん おめでとうございます。
337,google the word 'israel.',「『イスラエル』って検索してみてよ」
338,how did you find them?,どうやって?
339,"i'm transfusing, but i would like to see a professional doctor",輸血をしてるんだ でも専門の医師に診せたい
340,"so this makes her the class representative, huh?",これで あいつがクラス代表か
341,i'm going to see to it that not a,藍染に聞いてみないことには。
342,we can take decisive steps to preserve our democratic institutions,このリスクを理解していれば 民主主義制度を守るための断固たる措置を取れます
343,somebody's circumcised. okay. listen.,とにかく 週末出勤してでも 月曜までに仕事を片付けろ
344,must've encountered various failures and tough times too.,いろいろな失敗や苦労が あったはずです。
345,i've already met four people,既に4人会ったわ
346,"yeah, that's pretty good. can you put some rocks in it?",ああ うまいな 氷を入れてくれないか?
347,please give me your hand.,手 出してください。
348,"i mean, don't you remember your birthday party when you were a little girl?",子どもの頃の誕生日会を 覚えてるだろ
349,"out the door! both of you, march!",さあ 2人とも行進よ
350,and he can't do.,で できなかった
351,"how little science knows, about building it.",私たちも 科学も ほとんど知らないことです
352,what about the color?,覚えてるよぐらい言いなさいよ
353,"henry, just go! go!",ヘンリー、行くのよ!
354,you have very tiny hands.,喜んで
355,this is on the way home.,これは帰り道で
356,because we don't get agerelated diseases until we're in middle age,中年まで老年性の病気にならないことから明らかなのです
357,i'm coming to get you.,今助けに行く
358,as in alcohol.,お酒よ
359,"they didn't get them, they were really angry.",皆 昇進を手にできず 心底怒ったのです
